1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul
4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul
2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul
4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;1. Biztos nem kell fejleszteni;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul
5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul
3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul
1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul
3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;1. Biztos nem kell fejleszteni;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul
1. Biztos nem kell fejleszteni;4. Valószínűleg fejlesztésre szorul;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;1. Biztos nem kell fejleszteni;5. Biztosan fejlesztés re szorul;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul
3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul
2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat
